codigo; nome; endereco; email; telefone;categoria; RA; Emprestimos Correntes;
0;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
1;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
2;clarice;rua xxx;email@email.com;123456789;todos;1234564879;2
3;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
4;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
5;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
6;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
7;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
8;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
9;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
10;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
11;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
12;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
13;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
14;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
15;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
16;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
17;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
18;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
19;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
20;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
21;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
22;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
23;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
24;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
25;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
26;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
27;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
28;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
29;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
30;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
31;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
32;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
33;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
34;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
35;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
36;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
37;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
38;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
39;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
40;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
41;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
42;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
43;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
44;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
45;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
46;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
47;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
48;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
49;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
50;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
51;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
52;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
53;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
54;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
55;francisco;rua xxx;email@email.com;123456789;todos;1234564879;0
56;bernado;rua xxx;email@email.com;123456789;todos;1234564879;0
57;clarice;rua xxx;email@email.com;123456789;todos;1234564879;0
58;guilherme;rua xxx;email@email.com;123456789;todos;1234564879;0
59;marilia;rua xxx;email@email.com;123456789;todos;1234564879;0
